id,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
1,2016020045,8473607,4,1504,0,0,0,16,12,1,0,11,0,13,3,,75,33.33333333,84.61538462
2,2016020045,8473461,4,2011,0,0,0,11,9,1,0,8,0,10,1,L,81.81818182,100,80
3,2016020045,8470645,16,3598,0,0,0,27,23,2,0,21,0,23,4,W,85.18518519,50,91.30434783
4,2017020812,8468011,24,3696,0,0,0,33,30,1,2,27,3,28,2,W,90.90909091,50,96.42857143
5,2017020812,8475215,7,3539,0,0,0,33,29,4,1,24,1,27,5,L,87.87878788,80,88.88888889
6,2015020314,8473575,21,3600,0,0,0,21,20,3,1,16,1,17,3,W,95.23809524,100,94.11764706
7,2015020314,8474636,52,3520,0,0,0,28,25,4,0,21,0,23,5,L,89.28571429,80,91.30434783
8,2015020849,8471715,52,3475,0,0,0,29,27,8,1,18,1,18,10,L,93.10344828,80,100
9,2015020849,8475663,12,3600,0,0,0,21,20,1,1,18,1,19,1,W,95.23809524,100,94.73684211
10,2017020586,8469608,20,3458,1,0,0,41,39,8,0,31,0,32,9,L,95.12195122,88.88888889,96.875
11,2017020586,8476434,24,3590,0,0,0,23,22,4,1,17,1,18,4,W,95.65217391,100,94.44444444
12,2016020610,8474651,15,3600,0,0,0,23,22,2,0,20,0,20,3,W,95.65217391,66.66666667,100
13,2016020610,8471679,8,3576,0,0,0,39,35,5,0,30,0,33,6,L,89.74358974,83.33333333,90.90909091
14,2015020606,8473503,10,3416,0,0,0,41,39,3,0,36,0,38,3,L,95.12195122,100,94.73684211
15,2015020606,8471734,26,3600,0,0,0,26,25,3,0,22,0,22,4,W,96.15384615,75,100
16,2017020240,8474593,23,3600,0,0,0,35,31,4,3,24,3,25,7,L,88.57142857,57.14285714,96
17,2017020240,8468011,24,3084,0,0,0,14,13,1,1,11,1,12,1,W,92.85714286,100,91.66666667
18,2017020240,8473499,24,512,0,0,0,6,6,4,0,2,0,2,4,,100,100,100
19,2017020624,8475683,29,3571,0,0,0,32,30,8,0,22,0,23,9,L,93.75,88.88888889,95.65217391
20,2017020624,8473541,21,3589,0,0,0,34,34,6,0,28,0,28,6,W,100,100,100
21,2015020346,8475195,22,3895,0,0,0,41,39,7,1,31,1,32,8,W,95.12195122,87.5,96.875
22,2015020346,8473553,5,3900,0,0,0,36,34,3,1,30,1,31,4,L,94.44444444,75,96.77419355
23,2017020221,8476945,52,3600,0,0,0,34,33,6,0,27,0,27,7,W,97.05882353,85.71428571,100
24,2017020221,8471750,25,3432,0,0,0,25,22,6,0,16,0,18,7,L,88,85.71428571,88.88888889
25,2016020298,8470860,2,3488,0,0,0,27,24,1,0,23,0,26,1,L,88.88888889,100,88.46153846
26,2016020298,8469514,26,3600,0,0,0,24,22,1,0,21,0,23,1,W,91.66666667,100,91.30434783
27,2017020731,8470860,2,3738,0,0,0,33,30,6,0,24,0,27,6,L,90.90909091,100,88.88888889
28,2017020731,8477293,53,3741,0,0,0,34,32,5,1,26,1,28,5,W,94.11764706,100,92.85714286
29,2016020205,8476945,52,3593,0,0,0,25,23,1,1,21,1,23,1,W,92,100,91.30434783
30,2016020205,8475839,53,3537,0,0,0,27,24,1,0,23,0,26,1,L,88.88888889,100,88.46153846
31,2016020246,8476945,52,3522,0,0,0,21,17,1,0,16,0,20,1,L,80.95238095,100,80
32,2016020246,8473461,4,3600,0,0,0,32,30,3,1,26,1,28,3,W,93.75,100,92.85714286
33,2016020107,8470645,16,3608,0,0,0,32,30,4,0,26,0,27,5,W,93.75,80,96.2962963
34,2016020107,8476234,1,3664,0,0,0,29,26,6,0,20,0,21,8,L,89.65517241,75,95.23809524
35,2016021020,8470594,5,3869,0,0,0,30,27,4,0,23,0,25,5,L,90,80,92
36,2016021020,8470880,20,3900,0,0,2,35,32,6,0,26,0,28,7,W,91.42857143,85.71428571,92.85714286
37,2017020986,8475839,14,3859,0,0,0,35,31,2,0,29,0,32,3,W,88.57142857,66.66666667,90.625
38,2017020986,8471750,25,3750,0,0,0,25,20,2,1,17,1,22,2,L,80,100,77.27272727
